Title,Artist,ConstituentID,ArtistBio,Ethnicity,Nationality,Gender,Medium,CreditLine,Classification,Department,DateAcquired,URL,ImageURL
Rubber Mat,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Multiple of rubber silicone,"Purchased with proceeds from the 1998 ""Clue"" event, sponsored by the Junior Associates of The Museum of Modern Art, New York",Multiple,Drawings & Prints,1999-03-04,https://www.moma.org/collection/works/60839,https://www.moma.org/media/W1siZiIsIjE4MjIwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=297f499fcb24ff83
Untitled (grater),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Acquired through the generosity of Marian and James H. Cohen in memory of their son Michael Harrison Cohen,Print,Drawings & Prints,1997-03-06,https://www.moma.org/collection/works/62143,https://www.moma.org/media/W1siZiIsIjE1MjgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=330fd2f84d3fde6a
Untitled (Brain),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Multiple of silicone rubber,Gift of the artist in memory of Penny McCall,Multiple,Drawings & Prints,1999-05-20,https://www.moma.org/collection/works/63354,https://bard.emuseum.com/objects/256/untitled-brain?ctx=7ba681310d372094d7e4c1cbafd9cce41bf2c354&idx=7
"Head of a Girl, Full Face (Mädchenkopf, en face)",Jussuf Abbo,40,"(Palestinian, 1888–1953)",Palestinian,(Palestinian),(male),Lithograph with watercolor additions,Gift of Abby Aldrich Rockefeller,Print,Drawings & Prints,1940-04-05,https://www.moma.org/collection/works/65317,https://www.moma.org/media/W1siZiIsIjE4MDkyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5574a73078730ab9
Head and Shoulders of a Girl (Kopf und Schulter eines Mädchens),Jussuf Abbo,40,"(Palestinian, 1888–1953)",Palestinian,(Palestinian),(male),Lithograph,Gift of Abby Aldrich Rockefeller,Print,Drawings & Prints,1940-04-05,https://www.moma.org/collection/works/65333,https://www.moma.org/media/W1siZiIsIjE4MDgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea346c395f72fbb5
Untitled (Thiers knives III),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Virgina Cowles Schroth Fund,Print,Drawings & Prints,2001-01-24,https://www.moma.org/collection/works/75746,https://www.moma.org/media/W1siZiIsIjE1MjgwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7f75981f5dd194c6
Untitled (panhandled colander),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Virginia Cowles Schroth Fund,Print,Drawings & Prints,2001-01-24,https://www.moma.org/collection/works/75750,https://www.moma.org/media/W1siZiIsIjE1MjgwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da29f0ca2644f8ae
Silence,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Glass,Robert B. and Emilie W. Betts Foundation Fund,Sculpture,Painting & Sculpture,1995-05-08,https://www.moma.org/collection/works/80993,https://www.moma.org/media/W1siZiIsIjIxMDM1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=29f016f5dbd8a0c9
Untitled (hair grid with knots 3),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair with hair spray tied to transparentized paper,Purchase,Drawing,Drawings & Prints,2002-10-15,https://www.moma.org/collection/works/86813,https://www.moma.org/media/W1siZiIsIjkzODkzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=fe2f496e97990e1e
Untitled (grey hair grid with knots 3),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair with hair spray tied to black paper,Purchase,Drawing,Drawings & Prints,2002-12-10,https://www.moma.org/collection/works/86933,https://www.moma.org/media/W1siZiIsIjEyODYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc9bba7e464dcdeb
hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91525,https://www.moma.org/media/W1siZiIsIjU0OTUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=707c687fd2fa9d30
Pin Rug,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Stainless steel pins, canvas, and glue",Gift of Agnes Gund,Sculpture,Painting & Sculpture,2004-06-08,https://www.moma.org/collection/works/91777,https://www.moma.org/media/W1siZiIsIjI3ODk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e968cd44451375c0
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91871,https://www.moma.org/media/W1siZiIsIjEwMDkwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1aa4495a0c6878ee
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91872,https://www.moma.org/media/W1siZiIsIjEwMDkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4f8f4fb09c83d3f1
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91873,https://www.moma.org/media/W1siZiIsIjEwMDkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=179d3b1ef4afbb3d
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91874,https://www.moma.org/media/W1siZiIsIjEwMDkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b1af30c787fbffda
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91875,https://www.moma.org/media/W1siZiIsIjEwMDkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=65d0797ad87f0cdb
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91876,https://www.moma.org/media/W1siZiIsIjEwMDkwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a411ab50f134ace5
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91877,https://www.moma.org/media/W1siZiIsIjEwMDkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=32dcd37b547442e8
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91878,https://www.moma.org/media/W1siZiIsIjEwMDkxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=59ef897e9c4a723a
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91879,https://www.moma.org/media/W1siZiIsIjEwMDkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a110b6db2ae12ed
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91880,https://www.moma.org/media/W1siZiIsIjEwMDkxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1c287573fa951ea3
Routes II,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Gel pen and colored ink on five maps
a: Gel pen on map
b: Gel pen on map
c: Colored ink on map
d: Gel pen on map
e: Colored ink on map",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96106,https://www.moma.org/media/W1siZiIsIjEyMjY3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=15fa52e08c6ecfb0
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96107,https://www.moma.org/media/W1siZiIsIjExNDU5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=24ccf6a3f332e959
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair and fingernail on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96108,https://www.moma.org/media/W1siZiIsIjExNDU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=be238388a03537b2
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96109,https://www.moma.org/media/W1siZiIsIjExNDU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc9f3b8991a091f8
+ and -,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Sand, steel, aluminum, and electric motor",Gift of Jerry Speyer and Committee on Painting and Sculpture Funds,Sculpture,Painting & Sculpture,2005-12-12,https://www.moma.org/collection/works/101550,https://www.moma.org/media/W1siZiIsIjExNTg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ec107ceecfb02f34
Over my dead body from the Museum in Progress project Interventions,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Lithograph, offset printed",Linda Barth Goldstein Fund,Illustrated Book,Drawings & Prints,2004-06-02,,
Untitled from the Museum in Progress project The Message as Medium,Fareed Armaly,30853,"(Lebanese–Palestinian, born USA 1957)",Palestinian,(American),(male),"Lithograph, offset printed",Linda Barth Goldstein Fund,Print,Drawings & Prints,2006-06-01,,
Ramallah/New York,Emily Jacir,28422,"(Palestinian, born 1970)",Palestinian,(American),(female),"Two-channel standard-definition video (color, sound; 38:50 min.) and two flat screen monitors",Fund for the Twenty-First Century,Installation,Media and Performance,2007-09-24,https://www.moma.org/collection/works/110909,https://www.moma.org/media/W1siZiIsIjE0NjQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=56cbc65d05c585f7
Untitled from the Museum in Progress project The Message as Medium,"Various Artists, Heimo Zobernig, Clegg and Guttmann, Christian Philipp Müller, Mark Dion, Werner Büttner, Michael Krebber, Thomas Locher, Stephen Prina, Fareed Armaly, Andrea Fraser","24409, 30303, 30882, 30997, 27427, 7397, 19163, 29592, 4739, 30853, 30910","(Austrian, born 1958) (Irish and Israeli, born 1957) (Swiss, born 1957) (American, born 1961) (German, born 1954) (German, born 1954) (German, born 1956) (American, born 1954) (Lebanese–Palestinian, born USA 1957) (American, born 1965)",Palestinian,() (Austrian) (Irish) (Swiss) (American) (German) (German) (German) (American) (American) (American),() (male) (male) (male) (male) (male) (male) (male) (male) (male) (female),Ten Cash Flow magazines,Linda Barth Goldstein Fund,Print,Drawings & Prints,2006-06-01,https://www.moma.org/collection/works/111270,https://www.moma.org/media/W1siZiIsIjIyNDUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a1cc05d466cc2d1d
Measures of Distance,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Standard-definition video (color, sound)",Purchase,Video,Media and Performance,2000-01-01,https://www.moma.org/collection/works/118590,https://www.moma.org/media/W1siZiIsIjE0ODA0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6b65800c3282e60f
From Paris to Riyadh (Drawings for My Mother),Emily Jacir,28422,"(Palestinian, born 1970)",Palestinian,(American),(female),Ink on 115 sheets of transparentized paper,Committee on Drawings Funds,Drawing,Drawings & Prints,2011-02-07,https://www.moma.org/collection/works/139276,
Keffieh,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair on cotton fabric,Gift of Gwen and Peter Norton,Painting,Painting & Sculpture,2011-12-13,https://www.moma.org/collection/works/153219,https://www.moma.org/media/W1siZiIsIjU2NDI1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2a21ad9c7216a3bf
A Magical Substance Flows Into Me,Jumana Manna,49222,"(Palestinian, born 1987)",Palestinian,(Palestinian),(female),"Video (color, sound)",Fund for the Twenty-First Century,Video,Media and Performance,2016-05-02,https://www.moma.org/collection/works/200265,https://www.moma.org/media/W1siZiIsIjQyMTQ3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=850b3fc1f8ada68e
"The Part About the Bandits, Part 1 of the Incidental Insurgents","Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Chapter 1 Installation: documents, images, personal items, desks, chairs, table, stools, office cabinet, storage boxes, speakers, two record players, vinyls, sound of vinyl crackle, desktop computer with video (color, sound; 35:51 min.) Chapter 2: Single channel HD video & 2 channel sound + sub woofer 6'",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/202989,https://www.moma.org/media/W1siZiIsIjQzMTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2abe4ec4f70c27a8
Unforgiving Years - Part 2 of The Incidental Insurgents,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Chapter 3 Installation: documents, images, personal items, desks, chairs, table, lightboxes, drawings on tracing paper, wooden tower, wooden cages, miniature furniture, laptop computer with 4'10"" minute video

Chapter 4: Single channel HD video and 2 channel sound + sub woofer 6'20""",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/202990,
Cell Phone,Emily Jacir,28422,"(Palestinian, born 1970)",Palestinian,(American),(female),Pencil on two sheets of paper,Anonymous gift,Drawing,Drawings & Prints,2017-03-30,https://www.moma.org/collection/works/217157,https://www.moma.org/media/W1siZiIsIjM4ODA1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=75ea87cff0eb481f
The Part About the Bandits - Chapter 1,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Digital prints, documents, ephemera, furniture, vinyl LPs, sound and video (color, sound; 35:51 min.)",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/222535,
The Part About the Bandits - Chapter 2,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Video (color, sound)",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/222536,
Unforgiving Years - Chapter 3,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Digital prints, documents, drawings, ephemera, furniture, video (color, sound; 4:10 min)",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/222537,
Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),"Single-channel video (color, sound)",Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/222538,
The Part About the Bandits - Chapter 2; Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",Palestinian,(Palestinian) (Palestinian),(male) (female),,Fund for the Twenty-First Century,Installation,Media and Performance,2017-05-24,https://www.moma.org/collection/works/431066,
Projection,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Paper,Gift of Carolyn Alexander and the artist in memory of Ted Bonin,Print,Drawings & Prints,2024-03-07,https://www.moma.org/collection/works/451451,
"FPE (Fantastic, Plastic, Elastic)",Ron Arad,8428,"(British, born Israel 1951)",Israeli,(British),(male),Extruded aluminum profiles and injection-molded polypropylene plastic sheet,Gift of the manufacturer,Design,Architecture & Design,2000-12-11,https://www.moma.org/collection/works/4714,https://www.moma.org/media/W1siZiIsIjUzMDI2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7ccb1f43e624fc11
"De Stijl. The Israel Museum, Jerusalem. March 29-May 31, 1977",Izika Gaon,2072,"(Israeli, born 1938)",Israeli,(Israeli),(),Offset lithograph,"Gift of the Israel Museum, Jerusalem",Design,Architecture & Design,1980-01-08,https://www.moma.org/collection/works/5955,https://www.moma.org/media/W1siZiIsIjUyMDg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e1c177d9b5f148cc
Bezalel,Yarom Vardimon,6093,"(Israeli, born 1941)",Israeli,(Israeli),(male),Offset lithograph,Gift of the artist,Design,Architecture & Design,1982-10-27,https://www.moma.org/collection/works/6890,https://www.moma.org/media/W1siZiIsIjUyMTQ2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=806f62643fafc20a
"The Shelly Camp, For Better Days!",Yarom Vardimon,6093,"(Israeli, born 1941)",Israeli,(Israeli),(male),Offset lithograph,Gift of the artist,Design,Architecture & Design,1982-10-27,https://www.moma.org/collection/works/6897,https://www.moma.org/media/W1siZiIsIjUyMTQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d27309f1704b829b
Poland / Jerusalem Theatre / An Exhibition of Polish Theatre Posters,Yarom Vardimon,6093,"(Israeli, born 1941)",Israeli,(Israeli),(male),Silkscreen,Gift of the artist,Design,Architecture & Design,1982-10-27,https://www.moma.org/collection/works/6904,
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I","Joseph Lacasse, Sonia Delaunay, Alexander Archipenko, Mikhail Larionov, Carl Buchheister, Serge Charchoune, Jean Fautrier, Natalia Goncharova, Josef Albers, Marcel Janco, Georges Vantongerloo, Stanton Macdonald-Wright, Alberto Magnelli, Emilio Pettoruti, Alfred Reth, Hans Richter, Victor Servranckx, Gino Severini, Raoul Hausmann, Farfa, Various Artists","3331, 1480, 209, 3389, 843, 1071, 1815, 2229, 97, 2881, 6091, 3663, 3690, 4588, 4876, 4908, 5354, 5360, 2544, 1803, 24409","(French, 1894–1975) (French, born Ukraine. 1885–1979) (American, born Ukraine. 1887–1964) (Russian, 1881–1964) (German, 1890–1964) (Russian, 1888–1975) (French, 1898–1964) (Russian, 1881–1962) (American, born Germany. 1888–1976) (Israeli, 1895–1984) (Belgian, 1886–1965) (American, 1890–1973) (Italian, 1888–1971) (Argentine, 1892–1971) (Hungarian, 1884–1966) (American, born Germany. 1888–1976) (Belgian, 1897–1965) (Italian, 1883–1966) (German, born Austria. 1886–1971) (Italian, 1881–1964)",Israeli,(French) (French) (American) (Russian) (German) (Russian) (French) (Russian) (American) (Israeli) (Belgian) (American) (Italian) (Argentine) (Hungarian) (American) (Belgian) (Italian) (German) (Italian) (),(male) (female) (male) (male) (male) (male) (male) (female) (male) (male) (male) (male) (male) (male) (male) (male) (male) (male) (male) (male) (),"Illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving",Gift of Peter Deitsch Gallery,Illustrated Book,Drawings & Prints,1967-06-06,https://www.moma.org/collection/works/18192,https://www.moma.org/media/W1siZiIsIjQ3ODQ0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0fe6a77252f4e9a9
"Plate 10 from Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Etching from an illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving",Gift of Peter Deitsch Gallery,Illustrated Book,Drawings & Prints,1967-06-06,https://www.moma.org/collection/works/18193,https://www.moma.org/media/W1siZiIsIjQ3ODQ0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=10514db5280efd53
Plate (folio 8) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"28 drypoints (including wrapper front and spine), 14 with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 26) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 28) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 30) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 32) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 34) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 36) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 38) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 40) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 42) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 44) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 10) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
